State,Best_Model,SARIMA_RMSE,Prophet_RMSE,XGBoost_RMSE,LSTM_RMSE
Illinois,LSTM,91275350.80860698,31135301.96232016,48936615.65741554,19818215.391395945
Indiana,LSTM,60547801.85320032,21036741.71326146,15567673.152052095,14580139.239452856
Iowa,LSTM,28343536.312556,11723129.020721275,11546520.777491244,6815325.261596469
Arizona,LSTM,57500874.191432685,19751100.828183003,43951870.1312339,16097569.976805827
Kentucky,LSTM,52204024.52963346,17409137.323063385,26766986.46181764,9776557.693295524
Louisiana,LSTM,48496999.62392887,18801386.581735097,31768791.725083757,12254664.548192881
Maine,LSTM,13573477.597275827,6694340.888572093,6187658.889744331,3772933.230892474
Maryland,LSTM,46105589.09422833,14205981.215913484,23097486.4149506,9731239.65374264
Massachusetts,LSTM,47037731.52160659,16845872.122916132,25902753.047004245,10849817.63284008
Michigan,LSTM,94144385.67120148,30533244.59911921,34134240.06796913,18793772.33928661
Minnesota,LSTM,47366685.44176609,14629952.505009336,25185326.792854298,9999258.090698607
Mississippi,LSTM,39378231.464952484,18393609.522719752,35824173.943924055,7696269.683204661
Kansas,LSTM,26626283.259599872,7647739.07113952,7933795.053843851,5357998.678513262
Nevada,LSTM,28761441.92499504,12667674.428491732,17657955.55365883,7163168.4826127915
Oregon,LSTM,33984192.32323044,14589814.71101877,11637665.3814929,7747009.269782475
Oklahoma,LSTM,38562367.77311985,15385425.541586846,19383302.435942538,7925131.515324868
Ohio,LSTM,102096617.06391528,37139689.23480942,35428018.75313521,19643999.196000703
New Hampshire,LSTM,16504024.440380074,5911081.489415213,9032588.203865822,3745423.341592091
New York,LSTM,114428903.55798241,45379850.0296989,35729722.227986895,30382121.532352567
New Mexico,LSTM,16232184.661558466,7196779.907129809,12620403.476222882,5989754.8580498565
Pennsylvania,LSTM,96976246.37535381,35259480.48656129,51282573.54690851,19283671.63271284
North Carolina,LSTM,104855833.16890807,37641072.74347825,25693996.269783724,20562263.65117589
South Carolina,LSTM,51862653.711632736,21107005.63318594,29630320.85386226,12406825.11880944
Vermont,LSTM,6739593.067017024,2316527.450665785,2013642.6768952487,1398037.5249651407
Tennessee,LSTM,75851515.21356697,26849563.389132526,38516604.12557726,14302330.124918507
Texas,XGBoost,243131863.56102273,98327218.36527295,23834874.320009988,59045477.09193945
Utah,LSTM,22588784.25009771,9153636.579932252,8451149.90339406,6080409.070731889
Virginia,LSTM,79347142.93042976,29105215.32618538,27383458.81805611,19283392.48658192
Washington,LSTM,51289421.94401045,22370883.204799566,18594867.19482088,12108342.238497421
West Virginia,LSTM,18404873.21899886,7257997.55996813,12906357.647565614,4452556.336362802
Wisconsin,LSTM,45713918.28293047,16589429.03773032,24892261.75007841,10372995.660534084
Wyoming,LSTM,5880241.493627684,3046593.1288071736,4411473.878910045,1768962.6030835283
South Dakota,LSTM,8098494.685665,3653005.3238454335,4063303.739266093,2166754.8626158275
Nebraska,LSTM,16449314.676074672,5991029.573968018,15870120.802810904,3691870.7272209805
Rhode Island,LSTM,6231673.054968882,2860747.5935098445,3797625.80950777,1811440.35320526
Arkansas,LSTM,29713202.125569504,11714259.433354683,18921691.712438747,7505424.11675227
California,XGBoost,234932652.9772182,99660397.38102715,34170144.223612644,57016460.021106035
Colorado,LSTM,50159048.31889363,18780273.65741154,13130788.549170556,11256474.66646179
Connecticut,LSTM,24535158.028494,8555109.467734363,7553458.521011805,5313893.928175404
Florida,LSTM,215294996.9325645,58281380.54848006,82325998.88676801,48830753.16065546
Georgia,LSTM,110614369.91993827,39494778.734742254,43351611.47707848,21420348.0869507
Alabama,LSTM,62754428.486140184,23876485.75341115,36518452.71429094,11588416.861092536
Missouri,LSTM,55485813.01651428,17066918.91900258,39631659.70698649,11864589.679413894
